amc,year,month,status,description,source_page,download_url,file_path,error
Aditya Birla Sun Life Mutual Fund,2017,01,DOWNLOAD_FAILED,File(s) discovered but download/validation did not complete: Status: DOWNLOAD_FAILED [attempt 4/4],https://mutualfund.adityabirlacapital.com/forms-and-downloads/portfolio,https://mutualfund.adityabirlacapital.com/-/media/bsl/files/resources/monthly-portfolio/monthly-portfolio-january-2017.zip,data\raw\aditya_birla\2017-01,Status: DOWNLOAD_FAILED
Aditya Birla Sun Life Mutual Fund,2017,02,DOWNLOAD_FAILED,File(s) discovered but download/validation did not complete: Status: DOWNLOAD_FAILED [attempt 4/4],https://mutualfund.adityabirlacapital.com/forms-and-downloads/portfolio,https://mutualfund.adityabirlacapital.com/-/media/bsl/files/resources/monthly-portfolio/monthly-portfolio-february-2017.zip,data\raw\aditya_birla\2017-02,Status: DOWNLOAD_FAILED
Aditya Birla Sun Life Mutual Fund,2017,03,DOWNLOAD_FAILED,File(s) discovered but download/validation did not complete: Status: DOWNLOAD_FAILED [attempt 4/4],https://mutualfund.adityabirlacapital.com/forms-and-downloads/portfolio,https://mutualfund.adityabirlacapital.com/-/media/bsl/files/resources/monthly-portfolio/monthly-portfolio-march-2017.zip,data\raw\aditya_birla\2017-03,Status: DOWNLOAD_FAILED
Aditya Birla Sun Life Mutual Fund,2017,04,DOWNLOAD_FAILED,File(s) discovered but download/validation did not complete: Status: DOWNLOAD_FAILED [attempt 4/4],https://mutualfund.adityabirlacapital.com/forms-and-downloads/portfolio,https://mutualfund.adityabirlacapital.com/-/media/bsl/files/resources/monthly-portfolio/monthly-portfolio-april-2017.zip,data\raw\aditya_birla\2017-04,Status: DOWNLOAD_FAILED
Aditya Birla Sun Life Mutual Fund,2017,05,DOWNLOAD_FAILED,File(s) discovered but download/validation did not complete: Status: DOWNLOAD_FAILED [attempt 4/4],https://mutualfund.adityabirlacapital.com/forms-and-downloads/portfolio,https://mutualfund.adityabirlacapital.com/-/media/bsl/files/resources/monthly-portfolio/monthly-portfolio-may-2017.zip,data\raw\aditya_birla\2017-05,Status: DOWNLOAD_FAILED
Aditya Birla Sun Life Mutual Fund,2017,06,DOWNLOAD_FAILED,File(s) discovered but download/validation did not complete: Status: DOWNLOAD_FAILED [attempt 4/4],https://mutualfund.adityabirlacapital.com/forms-and-downloads/portfolio,https://mutualfund.adityabirlacapital.com/-/media/bsl/files/resources/monthly-portfolio/monthly-portfolio-june-2017.zip,data\raw\aditya_birla\2017-06,Status: DOWNLOAD_FAILED
Aditya Birla Sun Life Mutual Fund,2017,07,DOWNLOAD_FAILED,File(s) discovered but download/validation did not complete: Status: DOWNLOAD_FAILED [attempt 4/4],https://mutualfund.adityabirlacapital.com/forms-and-downloads/portfolio,https://mutualfund.adityabirlacapital.com/-/media/bsl/files/resources/monthly-portfolio/monthly-portfolio-july-2017.zip,data\raw\aditya_birla\2017-07,Status: DOWNLOAD_FAILED
Aditya Birla Sun Life Mutual Fund,2017,08,DOWNLOAD_FAILED,File(s) discovered but download/validation did not complete: Status: DOWNLOAD_FAILED [attempt 4/4],https://mutualfund.adityabirlacapital.com/forms-and-downloads/portfolio,https://mutualfund.adityabirlacapital.com/-/media/bsl/files/resources/monthly-portfolio/monthly-portfolio-august-2017.zip,data\raw\aditya_birla\2017-08,Status: DOWNLOAD_FAILED
Aditya Birla Sun Life Mutual Fund,2017,09,DOWNLOAD_FAILED,File(s) discovered but download/validation did not complete: Status: DOWNLOAD_FAILED [attempt 4/4],https://mutualfund.adityabirlacapital.com/forms-and-downloads/portfolio,https://mutualfund.adityabirlacapital.com/-/media/bsl/files/resources/monthly-portfolio/monthly-portfolio-september-2017.zip,data\raw\aditya_birla\2017-09,Status: DOWNLOAD_FAILED
Aditya Birla Sun Life Mutual Fund,2017,10,DOWNLOAD_FAILED,File(s) discovered but download/validation did not complete: Status: DOWNLOAD_FAILED [attempt 4/4],https://mutualfund.adityabirlacapital.com/forms-and-downloads/portfolio,https://mutualfund.adityabirlacapital.com/-/media/bsl/files/resources/monthly-portfolio/monthly-portfolio-october-2017.zip,data\raw\aditya_birla\2017-10,Status: DOWNLOAD_FAILED
