amc,year,month,status,description,source_page,download_url,file_path,error
Bandhan Mutual Fund,2024,07,DOWNLOAD_FAILED,File(s) discovered but download/validation did not complete: Status: INCOMPLETE [attempt 4/4],https://bandhanmutual.com/statutory-disclosures/scheme-portfolios/monthly-half-yearly,https://cmsnew.bandhanmutual.com/wp-content/uploads/2024/09/MF-Schemes-Performance-as-on-31-Mar-2020-.xlsx,data\raw\bandhan\monthly\2024-07,Status: INCOMPLETE
Bandhan Mutual Fund,2024,10,DOWNLOAD_FAILED,File(s) discovered but download/validation did not complete: Status: INCOMPLETE [attempt 4/4],https://bandhanmutual.com/statutory-disclosures/scheme-portfolios/monthly-half-yearly,https://storage.googleapis.com/nonprod-static-assets-121to59kaawfgfi7bol/2024/12/f3687fbf-bandhan-hybrid-equity-fund-31-oct-2024.xlsx,data\raw\bandhan\monthly\2024-10,Status: INCOMPLETE
Bandhan Mutual Fund,2024,12,DOWNLOAD_FAILED,File(s) discovered but download/validation did not complete: Status: INCOMPLETE [attempt 4/4],https://bandhanmutual.com/statutory-disclosures/scheme-portfolios/monthly-half-yearly,https://storage.googleapis.com/nonprod-static-assets-121to59kaawfgfi7bol/2025/01/2de7fcbc-bandhan-hybrid-equity-fund-31-dec-2024.xlsx,data\raw\bandhan\monthly\2024-12,Status: INCOMPLETE
HSBC Mutual Fund,2022,01,NO_DATA,AMC reported no portfolio disclosure for this period: HSBC page has no monthly portfolio workbook for 2022-01,,,,
HSBC Mutual Fund,2022,02,NO_DATA,AMC reported no portfolio disclosure for this period: HSBC page has no monthly portfolio workbook for 2022-02,,,,
HSBC Mutual Fund,2022,03,NO_DATA,AMC reported no portfolio disclosure for this period: HSBC page has no monthly portfolio workbook for 2022-03,,,,
HSBC Mutual Fund,2022,04,NO_DATA,AMC reported no portfolio disclosure for this period: HSBC page has no monthly portfolio workbook for 2022-04,,,,
HSBC Mutual Fund,2022,05,NO_DATA,AMC reported no portfolio disclosure for this period: HSBC page has no monthly portfolio workbook for 2022-05,,,,
HSBC Mutual Fund,2022,06,NO_DATA,AMC reported no portfolio disclosure for this period: HSBC page has no monthly portfolio workbook for 2022-06,,,,
HSBC Mutual Fund,2022,07,NO_DATA,AMC reported no portfolio disclosure for this period: HSBC page has no monthly portfolio workbook for 2022-07,,,,
HSBC Mutual Fund,2022,08,NO_DATA,AMC reported no portfolio disclosure for this period: HSBC page has no monthly portfolio workbook for 2022-08,,,,
HSBC Mutual Fund,2022,09,NO_DATA,AMC reported no portfolio disclosure for this period: HSBC page has no monthly portfolio workbook for 2022-09,,,,
HSBC Mutual Fund,2022,10,NO_DATA,AMC reported no portfolio disclosure for this period: HSBC page has no monthly portfolio workbook for 2022-10,,,,
HSBC Mutual Fund,2022,11,NO_DATA,AMC reported no portfolio disclosure for this period: HSBC page has no monthly portfolio workbook for 2022-11,,,,
HSBC Mutual Fund,2022,12,NO_DATA,AMC reported no portfolio disclosure for this period: HSBC page has no monthly portfolio workbook for 2022-12,,,,
IL&FS Mutual Fund (IDF),2020,01,NO_DATA,AMC reported no portfolio disclosure for this period: RuntimeError: IL&FS page has no combined monthly report for 2020-01,,,,
IL&FS Mutual Fund (IDF),2020,02,NO_DATA,AMC reported no portfolio disclosure for this period: RuntimeError: IL&FS page has no combined monthly report for 2020-02,,,,
IL&FS Mutual Fund (IDF),2020,03,NO_DATA,AMC reported no portfolio disclosure for this period: RuntimeError: IL&FS page has no combined monthly report for 2020-03,,,,
