amc,year,month,status,description,source_page,download_url,file_path,error
HSBC Mutual Fund,2022,09,NO_DATA,AMC reported no portfolio disclosure for this period: HSBC page has no monthly portfolio workbook for 2022-09,,,,
JM Financial Mutual Fund,2018,03,DOWNLOAD_FAILED,"File(s) discovered but download/validation did not complete: Status: INCOMPLETE [attempt 4/4] (6/7 recovered; 1 file -- ""Portfolio Disclosure - March 2018"" -- is a duplicate catalog entry pointing to a filename that does not exist on the file host, distinct from two other working copies of the same combined report already downloaded for this period)",https://www.jmfinancialmf.com/downloads/Portfolio-Disclosure,https://www.jmfinancialmf.com/CMS/downloads/Portfolio Disclosure/Monthly Portfolio of Schemes/March 2018 port..xlsx,data/raw/jm_financial/2018-03,Status: INCOMPLETE
JM Financial Mutual Fund,2020,12,DOWNLOAD_FAILED,"File(s) discovered but download/validation did not complete: Status: DOWNLOAD_FAILED [attempt 4/4] (confirmed dead: the API-listed filename and every plausible spelling/spacing variant tried against the live file host all return the site's generic fallback page, not a document)",https://www.jmfinancialmf.com/downloads/Portfolio-Disclosure,https://www.jmfinancialmf.com/CMS/downloads/Portfolio Disclosure/Monthly Portfolio of Schemes/Template Portfolio & Risk-o-Metre Disclosure - Monthly 31st  December 2020.xls,data/raw/jm_financial/2020-12,Status: DOWNLOAD_FAILED
PGIM India Mutual Fund,2018,05,DOWNLOAD_FAILED,File(s) discovered but download/validation did not complete: Status: DOWNLOAD_FAILED [attempt 4/4],https://www.pgimindia.com/mutual-funds/disclosures/Portfolios/Monthly-Portfolio,https://www.pgimindia.com/api/v1/brochure/about-us/image/Monthly Portfolio may 2018.xlsb,data/raw/pgim/2018-05,Status: DOWNLOAD_FAILED
PGIM India Mutual Fund,2019,06,DOWNLOAD_FAILED,File(s) discovered but download/validation did not complete: Status: DOWNLOAD_FAILED [attempt 4/4],https://www.pgimindia.com/mutual-funds/disclosures/Portfolios/Monthly-Portfolio,https://www.pgimindia.com/api/v1/brochure/about-us/image/Monthly Portfolio jun 2019.xlsb,data/raw/pgim/2019-06,Status: DOWNLOAD_FAILED
PGIM India Mutual Fund,2019,07,DOWNLOAD_FAILED,File(s) discovered but download/validation did not complete: Status: DOWNLOAD_FAILED [attempt 4/4],https://www.pgimindia.com/mutual-funds/disclosures/Portfolios/Monthly-Portfolio,https://www.pgimindia.com/api/v1/brochure/about-us/image/Monthly Portfolio jul 2019.xlsb,data/raw/pgim/2019-07,Status: DOWNLOAD_FAILED
PGIM India Mutual Fund,2020,09,DOWNLOAD_FAILED,File(s) discovered but download/validation did not complete: Status: DOWNLOAD_FAILED [attempt 4/4],https://www.pgimindia.com/mutual-funds/disclosures/Portfolios/Monthly-Portfolio,https://www.pgimindia.com/api/v1/brochure/about-us/image/Monthly Portfolio sep 2020.xlsb,data/raw/pgim/2020-09,Status: DOWNLOAD_FAILED
PGIM India Mutual Fund,2021,07,DOWNLOAD_FAILED,File(s) discovered but download/validation did not complete: Status: INCOMPLETE [attempt 4/4],https://www.pgimindia.com/mutual-funds/disclosures/Portfolios/Monthly-Portfolio,https://www.pgimindia.com/api/v1/brochure/about-us/image/pgim-india-arbitrage-fund jul 2021.xlsb,data/raw/pgim/2021-07,Status: INCOMPLETE
PGIM India Mutual Fund,2021,09,DOWNLOAD_FAILED,File(s) discovered but download/validation did not complete: Status: INCOMPLETE [attempt 4/4],https://www.pgimindia.com/mutual-funds/disclosures/Portfolios/Monthly-Portfolio,https://www.pgimindia.com/api/v1/brochure/about-us/image/pgim-india-arbitrage-fund sep 2021.xlsb,data/raw/pgim/2021-09,Status: INCOMPLETE
PGIM India Mutual Fund,2023,02,DOWNLOAD_FAILED,File(s) discovered but download/validation did not complete: Status: INCOMPLETE [attempt 4/4],https://www.pgimindia.com/mutual-funds/disclosures/Portfolios/Monthly-Portfolio,https://www.pgimindia.com/api/v1/brochure/about-us/image/pgim-india-arbitrage-fund feb 2023.xlsb,data/raw/pgim/2023-02,Status: INCOMPLETE
PGIM India Mutual Fund,2023,11,DOWNLOAD_FAILED,File(s) discovered but download/validation did not complete: Status: INCOMPLETE [attempt 4/4],https://www.pgimindia.com/mutual-funds/disclosures/Portfolios/Monthly-Portfolio,https://www.pgimindia.com/api/v1/brochure/about-us/image/pgim-india-arbitrage-fund nov 2023.xlsb,data/raw/pgim/2023-11,Status: INCOMPLETE
PGIM India Mutual Fund,2024,01,DOWNLOAD_FAILED,File(s) discovered but download/validation did not complete: Status: INCOMPLETE [attempt 4/4],https://www.pgimindia.com/mutual-funds/disclosures/Portfolios/Monthly-Portfolio,https://www.pgimindia.com/api/v1/brochure/about-us/image/pgim-india-arbitrage-fund jan 2024.xlsb,data/raw/pgim/2024-01,Status: INCOMPLETE
PGIM India Mutual Fund,2024,02,DOWNLOAD_FAILED,File(s) discovered but download/validation did not complete: Status: INCOMPLETE [attempt 4/4],https://www.pgimindia.com/mutual-funds/disclosures/Portfolios/Monthly-Portfolio,https://www.pgimindia.com/api/v1/brochure/about-us/image/PGIM INDIA CRISIL IBX GILT INDEX APR 28 Feb 2024.xlsb,data/raw/pgim/2024-02,Status: INCOMPLETE
PGIM India Mutual Fund,2024,03,DOWNLOAD_FAILED,File(s) discovered but download/validation did not complete: Status: INCOMPLETE [attempt 4/4],https://www.pgimindia.com/mutual-funds/disclosures/Portfolios/Monthly-Portfolio,https://www.pgimindia.com/api/v1/brochure/about-us/image/PGIM INDIA CRISIL IBX GILT INDEX APR 28 Mar 2024.xlsb,data/raw/pgim/2024-03,Status: INCOMPLETE
