amc,year,month,status,description,source_page,download_url,file_path,error
360 ONE Mutual Fund,2017,--,YEAR_NOT_AVAILABLE,No month in 2017 produced a result on the AMC website (earliest confirmed year: 2018): No month in 2017 produced a result on the AMC website (earliest confirmed year: 2018): No month in 2017 produced a result on the AMC website (earliest confirmed year: 2018): No month in 2017 produced a result on the AMC website (earliest confirmed year: 2018): AMC reported no portfolio disclosure for this period: RuntimeError: 360 ONE RSC payload has no monthly workbook for 2017-01,,,,
360 ONE Mutual Fund,2018,01,MONTH_NOT_AVAILABLE,"Year 2018 has confirmed downloads elsewhere on this AMC's site, but not this month. AMC reported no portfolio disclosure for this period: RuntimeError: 360 ONE RSC payload has no monthly workbook for 2018-01",,,,
360 ONE Mutual Fund,2018,02,ALREADY_EXISTS,Valid file(s) already downloaded by a previous run,https://www.360.one/asset/mutual-funds/downloads/,https://s3.ap-south-1.amazonaws.com/x-web-s3.360.one/IIFLAMC_IN_MF_MONTHLY_PORTFOLIO_FEB_18_0_d24ace68e2.xls,data\raw\360_one\2018-02,
360 ONE Mutual Fund,2018,03,ALREADY_EXISTS,Valid file(s) already downloaded by a previous run,https://www.360.one/asset/mutual-funds/downloads/,https://s3.ap-south-1.amazonaws.com/x-web-s3.360.one/IIFLAMC_IN_MF_MONTHLY_Portfolio_March18_Online_792d8f555d.xls,data\raw\360_one\2018-03,
360 ONE Mutual Fund,2018,04,ALREADY_EXISTS,Valid file(s) already downloaded by a previous run,https://www.360.one/asset/mutual-funds/downloads/,https://s3.ap-south-1.amazonaws.com/x-web-s3.360.one/IIFLAMC_IN_MF_MONTHLY_PORTFOLIO_April_18_81e2dffdd0.xls,data\raw\360_one\2018-04,
360 ONE Mutual Fund,2018,05,ALREADY_EXISTS,Valid file(s) already downloaded by a previous run,https://www.360.one/asset/mutual-funds/downloads/,https://s3.ap-south-1.amazonaws.com/x-web-s3.360.one/IIFLAMC_Mutual_Funds_MONTHLY_PORTFOLIO_MAY_2018_web_download_96050002a6.xls,data\raw\360_one\2018-05,
360 ONE Mutual Fund,2018,06,ALREADY_EXISTS,Valid file(s) already downloaded by a previous run,https://www.360.one/asset/mutual-funds/downloads/,https://s3.ap-south-1.amazonaws.com/x-web-s3.360.one/MONTHLY_PORTFOLIO_June_2018_IIFLAMC_Mutual_Funds_web_download_ce2ad04ebc.xls,data\raw\360_one\2018-06,
360 ONE Mutual Fund,2018,07,ALREADY_EXISTS,Valid file(s) already downloaded by a previous run,https://www.360.one/asset/mutual-funds/downloads/,https://s3.ap-south-1.amazonaws.com/x-web-s3.360.one/IIFLAMC_IN_MF_MONTHLY_PORTFOLIO_July_2018_60e334ab3a.XLS,data\raw\360_one\2018-07,
360 ONE Mutual Fund,2018,08,MONTH_NOT_AVAILABLE,"Year 2018 has confirmed downloads elsewhere on this AMC's site, but not this month. AMC reported no portfolio disclosure for this period: RuntimeError: 360 ONE RSC payload has no monthly workbook for 2018-08",,,,
360 ONE Mutual Fund,2018,09,ALREADY_EXISTS,Valid file(s) already downloaded by a previous run,https://www.360.one/asset/mutual-funds/downloads/,https://s3.ap-south-1.amazonaws.com/x-web-s3.360.one/IIFLAMC_IN_MF_MONTHLY_PORTFOLIO_September_2018_Online_73a331445c.xls,data\raw\360_one\2018-09,
360 ONE Mutual Fund,2018,10,ALREADY_EXISTS,Valid file(s) already downloaded by a previous run,https://www.360.one/asset/mutual-funds/downloads/,https://s3.ap-south-1.amazonaws.com/x-web-s3.360.one/IIFLAMC_IN_MF_MONTHLY_PORTFOLIO_October_2018_Online_d2fb52fcfe.xls,data\raw\360_one\2018-10,
360 ONE Mutual Fund,2018,11,ALREADY_EXISTS,Valid file(s) already downloaded by a previous run,https://www.360.one/asset/mutual-funds/downloads/,https://s3.ap-south-1.amazonaws.com/x-web-s3.360.one/IIFLAMC_IN_MF_MONTHLY_PORTFOLIO_November_2018_Online_bbb1bb07da.xls,data\raw\360_one\2018-11,
360 ONE Mutual Fund,2018,12,ALREADY_EXISTS,Valid file(s) already downloaded by a previous run,https://www.360.one/asset/mutual-funds/downloads/,https://s3.ap-south-1.amazonaws.com/x-web-s3.360.one/IIFLAMC_IN_MF_MONTHLY_PORTFOLIO_December_2018_Online_0f53538103.XLS,data\raw\360_one\2018-12,
360 ONE Mutual Fund,2019,01,MONTH_NOT_AVAILABLE,"Year 2019 has confirmed downloads elsewhere on this AMC's site, but not this month. AMC reported no portfolio disclosure for this period: RuntimeError: 360 ONE RSC payload has no monthly workbook for 2019-01",,,,
360 ONE Mutual Fund,2019,02,MONTH_NOT_AVAILABLE,"Year 2019 has confirmed downloads elsewhere on this AMC's site, but not this month. AMC reported no portfolio disclosure for this period: RuntimeError: 360 ONE RSC payload has no monthly workbook for 2019-02",,,,
360 ONE Mutual Fund,2019,03,ALREADY_EXISTS,Valid file(s) already downloaded by a previous run,https://www.360.one/asset/mutual-funds/downloads/,https://s3.ap-south-1.amazonaws.com/x-web-s3.360.one/IN_MF_MONTHLY_Portfolio_FEB_08032019_f51938b498.XLS,data\raw\360_one\2019-03,
